ParName   Value   Gradient
Mest    0.0480885 -0.000356894
mean_log_rec      -1.6441 1.21165e-005
log_Rzero     -2.22026 3.73651e-007
rec_dev(1963)    -0.610548 -1.54775e-006
rec_dev(1964)    -0.666716 -1.1273e-006
rec_dev(1965)    -0.716673 -2.95471e-006
rec_dev(1966)    -0.709799 -1.5713e-006
rec_dev(1967)    -0.625792 -2.74776e-006
rec_dev(1968)   -0.0880575 -2.34989e-006
rec_dev(1969)    0.0979503 -4.65039e-006
rec_dev(1970)     0.167064 -3.6828e-006
rec_dev(1971)     0.180121 -6.92411e-006
rec_dev(1972)   -0.0695771 -1.32245e-006
rec_dev(1973)      1.06071 -7.83105e-006
rec_dev(1974)     0.433475 -5.51107e-006
rec_dev(1975)     0.810174 -7.27454e-006
rec_dev(1976)     0.412127 -5.33408e-006
rec_dev(1977)     0.455022 -4.89328e-006
rec_dev(1978)     0.397031 -4.40922e-007
rec_dev(1979)       2.6869 1.60457e-005
rec_dev(1980)     -0.91796 9.94326e-007
rec_dev(1981)     -0.62894 3.59433e-006
rec_dev(1982)      1.30999 1.66826e-005
rec_dev(1983)     0.346219 2.80617e-006
rec_dev(1984)      1.73676 3.88291e-005
rec_dev(1985)    0.0857378 1.05347e-005
rec_dev(1986)    0.0286142  2.7383e-006
rec_dev(1987)     0.801531 1.98956e-005
rec_dev(1988)     0.148536 5.76457e-006
rec_dev(1989)    -0.594644 5.82638e-006
rec_dev(1990)     0.787555 9.11711e-006
rec_dev(1991)     -1.01459 3.27303e-006
rec_dev(1992)    -0.563274 7.25526e-006
rec_dev(1993)    -0.702583 4.96719e-006
rec_dev(1994)     0.162379 7.07269e-006
rec_dev(1995)     -1.40447 4.06661e-006
rec_dev(1996)    -0.631172 1.33342e-005
rec_dev(1997)     -1.15437 6.49459e-006
rec_dev(1998)     -1.45549 5.52933e-006
rec_dev(1999)     -1.29314 3.89617e-006
rec_dev(2000)    -0.380047 1.40814e-005
rec_dev(2001)    -0.199936 2.35526e-005
rec_dev(2002)     -1.78759  5.2351e-006
rec_dev(2003)     -1.96884 4.73011e-006
rec_dev(2004)     -1.87801 3.45993e-006
rec_dev(2005)      -2.2248 8.73437e-007
rec_dev(2006)     -1.37409 6.16904e-006
rec_dev(2007)    -0.254925 8.16823e-006
rec_dev(2008)    -0.848896 7.36906e-006
rec_dev(2009)      -2.1454 1.05211e-006
