ParName   Value   Gradient
Mest     0.204854 8.95106e-005
mean_log_rec     -2.31862 8.19747e-007
log_Rzero     -2.60867 -7.17552e-006
rec_dev(1963)    -0.672809 7.78771e-008
rec_dev(1964)    -0.758198 1.51282e-006
rec_dev(1965)    -0.829815 7.28351e-007
rec_dev(1966)    -0.836793 6.61031e-007
rec_dev(1967)    -0.756493  1.4948e-006
rec_dev(1968)    -0.237011 -4.05751e-006
rec_dev(1969)   -0.0401478 3.64206e-006
rec_dev(1970)    0.0690185 2.24111e-006
rec_dev(1971)     0.129051 4.04417e-006
rec_dev(1972)   -0.0938385 1.21627e-006
rec_dev(1973)      1.06075 -4.39375e-006
rec_dev(1974)      0.45505 5.73576e-006
rec_dev(1975)     0.852387 7.89161e-006
rec_dev(1976)     0.465495 2.06962e-006
rec_dev(1977)     0.516083 1.20439e-006
rec_dev(1978)     0.454467 -7.48697e-006
rec_dev(1979)      2.99593 -2.83283e-005
rec_dev(1980)    -0.347222 -5.73937e-006
rec_dev(1981)    -0.188235 1.05258e-006
rec_dev(1982)      1.57794 -1.55924e-005
rec_dev(1983)     0.640223 -5.75456e-006
rec_dev(1984)      1.98751 -1.9605e-005
rec_dev(1985)     0.426786 -2.29381e-007
rec_dev(1986)     0.385403 -5.40341e-006
rec_dev(1987)      1.18072 4.39881e-006
rec_dev(1988)     0.535916 1.46661e-006
rec_dev(1989)    -0.116717 -6.33442e-007
rec_dev(1990)      1.17256 -2.24299e-006
rec_dev(1991)    -0.500341 7.78622e-008
rec_dev(1992)    -0.134313 -3.57928e-006
rec_dev(1993)     -0.23217 -6.08505e-006
rec_dev(1994)     0.558489 -2.01037e-005
rec_dev(1995)    -0.856211 -7.57032e-006
rec_dev(1996)    -0.194325 -1.76507e-005
rec_dev(1997)    -0.633333 -3.7002e-006
rec_dev(1998)    -0.867301 -3.56072e-006
rec_dev(1999)    -0.672038 -3.92055e-006
rec_dev(2000)     0.211327 -7.89241e-006
rec_dev(2001)     0.392102 -1.87996e-005
rec_dev(2002)     -1.09106 -3.86007e-006
rec_dev(2003)     -1.24653 -3.64856e-006
rec_dev(2004)     -1.17825 -2.09975e-006
rec_dev(2005)      -1.4109 -5.30154e-007
rec_dev(2006)    -0.707858 -2.97267e-006
rec_dev(2007)     0.316777 -4.44501e-006
rec_dev(2008)    -0.225611 -4.32988e-006
rec_dev(2009)     -1.24759 -2.40366e-006
rec_dev(2010)      0.28186 -2.11533e-006
rec_dev(2011)    -0.489618 -5.42414e-006
rec_dev(2012)     0.468086 -3.61494e-006
rec_dev(2013)     0.777045 9.11982e-006
rec_dev(2014)      0.21679 5.32336e-006
rec_dev(2015)     0.143109 2.29188e-006
rec_dev(2016)     0.281961 -4.46148e-006
rec_dev(2017)    -0.126902 1.10933e-006
rec_dev(2018)    -0.595613 2.21884e-006
rec_dev(2019) 2.27305e-009 2.93284e-007
fmort(1,1978)    0.0210332 -4.29404e-005
fmort(1,1979)     0.033621 1.62793e-005
fmort(1,1980)     0.157641 1.10976e-005
fmort(1,1981)     0.111265 4.50504e-005
fmort(1,1982)     0.134754 5.77254e-006
fmort(1,1983)    0.0988314  -2.066e-005
fmort(1,1984)    0.0806672 -2.94842e-005
fmort(1,1985)     0.076267 3.19808e-005
fmort(1,1986)    0.0446074 -3.19735e-005
fmort(1,1987)    0.0464491 -1.9016e-005
fmort(1,1988)    0.0706209 -2.55744e-006
fmort(1,1989)    0.0207518 -9.04428e-006
fmort(1,1990)     0.169108 -9.27365e-006
fmort(1,1991)     0.186695 6.31148e-008
fmort(1,1992)     0.120308 -6.13633e-006
fmort(1,1993)     0.152575 -3.87544e-006
fmort(1,1994)     0.202593 -4.2155e-006
