Stock Alt Year Catch ABC OFL SSB TotBiom
ai22_2 1 2023 51.9923 51.9923 63.1253 73.3914 317.399
ai22_2 1 2024 33.1411 33.1411 40.6052 60.9769 302.272
ai22_2 1 2025 30.0364 30.0364 36.9927 59.5851 315.699
ai22_2 1 2026 32.4896 32.4896 40.0837 62.8545 336.081
ai22_2 1 2027 35.6187 35.6187 44.0126 67.4562 354.267
ai22_2 1 2028 39.1147 39.1147 48.3525 72.1487 368.235
ai22_2 1 2029 42.1002 42.1002 52.1303 75.7863 377.143
ai22_2 1 2030 43.9745 43.9745 54.56 78.0542 380.638
ai22_2 1 2031 45.0356 45.0356 55.8288 79.0063 381.929
ai22_2 1 2032 45.3466 45.3466 56.3008 79.1434 378.413
ai22_2 1 2033 45.2168 45.2168 56.0655 78.7569 375.022
ai22_2 1 2034 44.7565 44.7565 55.5481 78.2666 372.343
ai22_2 1 2035 44.2444 44.2444 54.7611 77.1657 370.241
ai22_2 1 2036 43.5058 43.5058 53.9558 76.0839 370.6
ai22_2 2 2023 51.9923 0.0519342 63.1253 73.3914 317.399
ai22_2 2 2024 33.1411 0.0329169 40.6052 60.9769 302.272
ai22_2 2 2025 30.0364 0.0292908 36.9927 59.5851 315.699
ai22_2 2 2026 32.4896 0.0293934 40.0837 62.8545 336.081
ai22_2 2 2027 35.6187 0.0270256 44.0126 67.4562 354.267
ai22_2 2 2028 39.1147 0.0258398 48.3525 72.1487 368.235
ai22_2 2 2029 42.1002 0.0334912 52.1303 75.7863 377.143
ai22_2 2 2030 43.9745 0.0435229 54.56 78.0542 380.638
ai22_2 2 2031 45.0356 0.0520615 55.8288 79.0063 381.929
ai22_2 2 2032 45.3466 0.0587958 56.3008 79.1434 378.413
ai22_2 2 2033 45.2168 0.0625953 56.0655 78.7569 375.022
ai22_2 2 2034 44.7565 0.0637486 55.5481 78.2666 372.343
ai22_2 2 2035 44.2444 0.0613342 54.7611 77.1657 370.241
ai22_2 2 2036 43.5058 0.0566866 53.9558 76.0839 370.6
ai22_2 3 2023 3.97425 51.9923 63.1253 77.3086 317.399
ai22_2 3 2024 3.89968 51.3943 63.0461 80.8879 345.075
ai22_2 3 2025 4.06974 54.0736 66.4837 87.2258 378.497
ai22_2 3 2026 4.50376 59.9911 73.8091 96.1318 413.136
ai22_2 3 2027 5.05574 67.3156 82.8091 106.518 445.643
ai22_2 3 2028 5.64236 74.9833 92.1801 117.425 474.314
ai22_2 3 2029 6.18243 81.9567 100.687 127.499 498.115
ai22_2 3 2030 6.67905 88.2591 108.364 136.176 516.099
ai22_2 3 2031 7.0732 93.2622 114.447 142.974 530.347
ai22_2 3 2032 7.36284 96.9042 118.869 147.893 537.429
ai22_2 3 2033 7.55532 99.2941 121.758 151.179 542.034
ai22_2 3 2034 7.67427 100.773 123.541 153.429 545.221
ai22_2 3 2035 7.74625 101.645 124.588 154.212 547.117
ai22_2 3 2036 7.7812 102.065 125.085 154.374 550.087
ai22_2 4 2023 22.9272 51.9923 63.1253 75.8799 317.399
ai22_2 4 2024 20.3797 45.1195 54.8519 72.6471 328.176
ai22_2 4 2025 19.9106 45.1589 55.0934 74.0459 349.373
ai22_2 4 2026 21.1713 48.145 59.0662 78.9717 374.22
ai22_2 4 2027 23.1327 51.9425 63.8456 85.5555 397.666
ai22_2 4 2028 25.2776 56.2204 69.1882 92.6103 417.468
ai22_2 4 2029 27.1889 60.5359 74.5217 98.808 432.571
ai22_2 4 2030 28.8445 64.3461 79.1738 103.649 442.146
ai22_2 4 2031 29.9736 66.8939 82.3085 106.846 448.538
ai22_2 4 2032 30.6354 68.4603 84.2365 108.691 448.887
ai22_2 4 2033 30.952 69.1911 85.1212 109.479 448.094
ai22_2 4 2034 31.0109 69.3103 85.2538 109.724 446.994
ai22_2 4 2035 30.9266 69.0358 84.9059 108.959 445.586
ai22_2 4 2036 30.7557 68.6044 84.3334 107.941 446.035
ai22_2 5 2023 0 51.9923 63.1253 77.5921 317.399
ai22_2 5 2024 0 52.4252 64.3022 82.6435 348.619
ai22_2 5 2025 0 55.9459 68.7662 90.2131 384.977
ai22_2 5 2026 0 62.6473 77.0474 100.223 422.223
ai22_2 5 2027 0 70.7727 87.0226 111.727 457.296
ai22_2 5 2028 0 79.2772 97.4251 123.804 488.588
ai22_2 5 2029 0 87.1544 107.046 135.095 515.059
ai22_2 5 2030 0 94.3693 115.82 145.021 535.732
ai22_2 5 2031 0 100.219 122.933 153.049 552.621
ai22_2 5 2032 0 104.624 128.273 159.087 562.12
ai22_2 5 2033 0 107.699 131.996 163.354 568.829
ai22_2 5 2034 0 109.77 134.504 166.46 573.841
ai22_2 5 2035 0 111.165 136.182 167.981 577.304
ai22_2 5 2036 0 112.028 137.213 168.777 581.627
ai22_2 6 2023 63.1253 51.9923 63.1253 72.3191 317.399
ai22_2 6 2024 35.6415 29.0011 35.6415 56.7295 292.35
ai22_2 6 2025 31.8441 25.7694 31.8441 55.1117 304.859
ai22_2 6 2026 34.912 28.217 34.912 58.3248 324.97
ai22_2 6 2027 38.7924 31.3228 38.7924 62.5885 342.186
ai22_2 6 2028 42.8045 34.5138 42.8045 66.6359 354.476
ai22_2 6 2029 45.9983 36.7807 45.9983 69.52 361.439
ai22_2 6 2030 47.7268 38.0683 47.7268 71.0606 363.099
ai22_2 6 2031 48.3923 38.6552 48.3923 71.4511 362.989
ai22_2 6 2032 48.4915 38.7113 48.4915 71.2701 358.728
ai22_2 6 2033 48.0907 38.3815 48.0907 70.7221 354.966
ai22_2 6 2034 47.5639 37.9548 47.5639 70.2009 352.266
ai22_2 6 2035 46.7161 37.2179 46.7161 69.1422 350.233
ai22_2 6 2036 46.0078 36.7322 46.0078 68.1956 350.981
ai22_2 7 2023 51.9923 51.9923 63.1253 73.3914 317.399
ai22_2 7 2024 33.1411 33.1411 40.6052 60.9769 302.272
ai22_2 7 2025 36.9927 30.0364 36.9927 59.0433 315.699
ai22_2 7 2026 37.1791 30.0922 37.1791 60.0546 329.445
ai22_2 7 2027 39.689 32.0628 39.689 63.2971 343.827
ai22_2 7 2028 43.1147 34.8108 43.1147 66.8965 354.98
ai22_2 7 2029 46.0875 36.8783 46.0875 69.5969 361.54
ai22_2 7 2030 47.7428 38.0802 47.7428 71.0736 363.085
ai22_2 7 2031 48.388 38.6514 48.388 71.4478 362.959
ai22_2 7 2032 48.4856 38.7064 48.4856 71.2656 358.708
ai22_2 7 2033 48.0882 38.3793 48.0882 70.72 354.957
ai22_2 7 2034 47.5636 37.9545 47.5636 70.2007 352.264
ai22_2 7 2035 46.7167 37.2183 46.7167 69.1427 350.234
ai22_2 7 2036 46.0084 36.7327 46.0084 68.1961 350.982
